name,surname,birthday,university,,,,,,,,,,,,,,,,,,,,,,
Brendan,Hays,1998-06-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cooper,Meyers,1992-06-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Renee,Perez,1993-05-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Dallas,Barnes,1993-04-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Annabella,Livingston,1993-05-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jeffery,Delgado,1998-10-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Katie,Buckley,1997-08-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Blake,Harvey,1994-04-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Zaniyah,Dodson,1995-04-16,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Madeline,Jennings,1992-03-10,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bridger,Holden,1996-02-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Leigha,Foreman,1996-10-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Dawson,Collins,1997-04-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kyla,Graham,1998-10-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kendal,Mason,1994-05-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bradley,Avila,1995-01-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Maximus,Ashley,1993-03-23,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brooklynn,Cantu,1996-11-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Luke,Watson,1992-01-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Millie,Mathews,1992-06-10,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Zachery,Carpenter,1994-02-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Dario,Long,1995-07-31,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Liliana,Carson,1998-12-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Rowan,Decker,1995-09-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Regan,Stein,1995-02-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Diya,Hewitt,1992-10-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Anderson,Bruce,1998-02-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Camren,Bradley,1992-12-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kaitlynn,Greene,1997-09-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Davon,Powell,1994-07-31,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Connor,Head,1992-12-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cooper,Ayers,1992-10-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Evelynn,Roman,1995-10-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Maya,Parrish,1998-07-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Carley,Peters,1994-01-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kenley,Mercado,1998-12-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Makayla,Reyes,1994-11-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kyson,Hawkins,1992-04-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Tyrone,Harding,1995-08-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Santiago,Morrison,1993-10-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brendon,Ortega,1998-05-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aubri,Byers,1996-11-10,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Marissa,Larson,1998-01-31,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Raven,Burgess,1998-03-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Micah,Pollard,1998-01-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Caylee,Heath,1994-08-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Emelia,Sawyer,1992-05-10,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Charles,Alvarez,1996-09-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brendon,Alvarado,1998-10-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Leanna,Duffy,1997-03-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Sabrina,Green,1996-10-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Violet,Glass,1994-07-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kamden,Oliver,1998-01-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Siena,Frost,1994-05-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Skylar,Preston,1997-12-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Raymond,Morin,1995-11-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Samson,Carlson,1995-06-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bryce,Bowers,1994-01-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kimberly,Chambers,1997-03-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Phoenix,Allen,1995-08-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brynlee,Nielsen,1994-08-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Noemi,Wilkins,1998-09-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Emily,Whitaker,1998-04-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brooke,Drake,1994-05-13,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Thaddeus,Patrick,1997-06-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cannon,Brock,1992-04-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Ciara,Alexander,1994-11-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Drew,Reeves,1996-04-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aleah,Brewer,1992-06-10,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Sariyah,Coffey,1996-12-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Camden,Harris,1996-12-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lilianna,Madden,1993-11-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Terry,Marks,1997-01-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lance,Contreras,1993-03-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cecelia,Sanford,1997-05-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Maleah,Yang,1996-03-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Drake,Jacobson,1998-02-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Sarah,Fisher,1992-01-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Braylee,Stout,1993-04-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Juliana,Kelly,1998-06-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Blaze,Workman,1998-10-16,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lewis,Todd,1998-08-16,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Hank,Campbell,1996-07-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Pablo,Payne,1997-11-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Edith,Miranda,1995-03-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Randall,Yang,1996-02-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lilia,Rosa,1997-07-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jessie,Robertson,1993-04-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Scarlet,Griffith,1992-05-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kayden,Fox,1992-02-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Sincere,Payne,1993-02-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Luka,Farrell,1997-12-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Darius,Neal,1992-04-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Miller,Torres,1997-05-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jazlynn,Daniel,1997-02-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jerimiah,Donaldson,1994-05-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Justus,Cote,1995-11-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Quinton,Carlson,1992-11-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jorden,Compton,1994-06-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kieran,Cooke,1993-03-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jeremy,Williamson,1997-12-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jaden,Clark,1998-12-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
America,Gonzales,1998-05-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Tanner,Nelson,1995-02-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Melissa,Mccoy,1995-03-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Emanuel,Jones,1995-01-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aria,Villarreal,1998-11-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cedric,Velazquez,1996-10-31,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Derrick,Sweet,1998-03-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Joshua,Boone,1992-10-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Chanel,Saunders,1994-07-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Reagan,Griffith,1994-09-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jovanni,Hendricks,1997-01-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Sebastian,Kramer,1994-09-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Miguel,Henson,1998-04-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Finley,England,1996-07-31,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alison,Bernard,1993-06-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cali,Maynard,1997-07-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Tia,Brooks,1992-08-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Muhammad,Becker,1994-11-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Miriam,Gentry,1992-07-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lincoln,Richmond,1994-02-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Reid,Sweeney,1994-11-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Gia,Abbott,1997-04-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Denise,Roberts,1996-02-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lacey,Fleming,1992-05-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Imani,Logan,1995-09-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kellan,Holloway,1994-11-23,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Rosalie,Duke,1993-11-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Crystal,Tillman,1992-05-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lamar,Middleton,1992-07-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kyson,Hale,1997-08-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Karson,Sweet,1997-10-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Hayden,Walters,1998-03-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Charli,Buckner,1995-11-10,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aubri,Tran,1994-09-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Gavyn,Mcgee,1992-08-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Temperance,Prince,1998-08-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cameron,Riddle,1993-09-23,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alexander,Hurst,1998-09-10,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Briley,Miller,1996-06-13,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cecilia,Duncan,1996-12-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Malaya,Osborn,1995-01-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bronson,Long,1992-06-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Draven,Dodson,1992-08-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jenny,Hood,1992-03-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Royce,Cardenas,1997-02-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Gage,Sloan,1994-08-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Zion,Zamora,1997-10-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jacob,Moreno,1996-10-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jaydin,Stout,1996-03-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Willow,Grant,1992-09-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cohen,Marshall,1994-07-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Larry,Floyd,1994-09-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Tatum,Chandler,1995-07-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Layton,Park,1992-02-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brendan,Hendricks,1997-10-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Maximiliano,Cochran,1995-06-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cesar,Lowery,1998-03-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bryleigh,Bryant,1997-01-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Leia,Medina,1996-05-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Urijah,Hurley,1993-02-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Darien,Ramos,1993-06-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Matthias,Thomas,1996-07-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kadence,Murray,1996-03-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Miguel,Stevenson,1998-08-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Ray,Little,1995-11-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Mae,Acevedo,1998-09-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Theodore,Wells,1994-10-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Abraham,Munoz,1995-07-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Gaige,Gibson,1993-11-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Selah,Nixon,1993-12-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kade,Roth,1995-12-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Heath,Barton,1992-01-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Julien,Berry,1997-02-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Weston,Strong,1996-07-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Tristin,Livingston,1998-08-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Milagros,Nixon,1995-08-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brycen,Kane,1992-07-16,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lukas,Colon,1994-10-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Janae,Chaney,1996-03-23,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kamari,Weber,1996-01-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Enoch,Bauer,1997-04-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jayde,Yang,1997-02-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Xzavier,Tanner,1992-07-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Diana,Clemons,1996-09-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Todd,Dixon,1993-04-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Malia,Hurst,1994-05-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brendon,Mcmillan,1993-10-16,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Camila,Sargent,1995-10-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brooke,Church,1996-04-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Brian,Finley,1998-09-16,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aliza,Whitley,1998-10-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Manuel,Black,1995-09-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Dakota,Carr,1997-11-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lea,Allison,1993-03-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Hadassah,Jimenez,1993-09-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Laylah,Hodges,1997-06-13,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Sam,Freeman,1998-03-16,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alyssa,Pace,1997-05-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Ronan,Willis,1995-04-17,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Haiden,Haney,1995-07-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jared,Barron,1993-02-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alvaro,Downs,1994-01-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Amani,Harmon,1996-06-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Carson,Nielsen,1998-01-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Xander,Lindsey,1995-06-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Adele,Noel,1998-04-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Maxx,Foley,1997-01-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Haven,William,1996-12-06,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alexandra,Donovan,1997-12-16,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Heidi,George,1997-08-30,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aimee,Norris,1997-04-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kellen,Medina,1998-10-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Ashtyn,Merritt,1998-09-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Chanel,Raymond,1992-04-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kaia,Skinner,1992-02-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Isabella,Foster,1997-08-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Sherlyn,Oneil,1995-08-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Armani,Byrd,1996-07-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lily,Padilla,1996-12-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Preston,Hernandez,1994-05-31,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Savanna,Holt,1994-09-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jacob,Fitzgerald,1995-06-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Moses,Graham,1993-11-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aurora,Ford,1997-08-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Beckett,Mcmillan,1998-05-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Quinton,Reid,1995-11-23,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Ivan,Ruiz,1997-08-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Madelynn,Harding,1997-06-11,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Johan,Wong,1993-07-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Mike,Donovan,1997-03-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Amiyah,Marshall,1996-10-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Henry,Ward,1992-05-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Abram,Grant,1995-04-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Ellis,Blackwell,1995-12-10,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Fabian,Garza,1995-12-09,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Gemma,Mckinney,1993-02-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Carley,Tillman,1995-12-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aubree,Warren,1992-08-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Isaac,Aguilar,1992-12-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alfredo,Coffey,1996-07-10,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Keith,Roy,1992-11-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cade,Pate,1993-06-12,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Boston,Cardenas,1995-10-20,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Aryan,Boyer,1993-12-31,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Coen,Diaz,1996-09-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Tara,Berry,1994-10-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Nash,Ballard,1995-12-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Samuel,Black,1993-05-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Dangelo,Rose,1995-10-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Cayson,Hooper,1995-01-26,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Lennox,Clayton,1992-12-29,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bailee,Huber,1993-09-25,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Sasha,Mercer,1993-01-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Mariam,Hutchinson,1997-12-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Ben,Tillman,1997-09-05,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Edwin,Jefferson,1993-10-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Edwin,Scott,1993-08-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jordan,Washington,1997-07-07,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Rodney,Conner,1994-12-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jacob,Guerrero,1992-12-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jax,Mccall,1998-12-14,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Landon,Berg,1994-02-23,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Eve,Mejia,1995-06-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Dorothy,Russo,1993-06-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Frank,Bush,1993-11-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Gage,Pope,1995-06-04,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alexzander,Ross,1996-08-08,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Kamden,Mason,1992-02-28,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Princeton,Gates,1996-03-01,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Alfonso,Guthrie,1993-10-24,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jax,Nash,1994-08-13,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Jason,Tucker,1993-02-03,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Gauge,Wolfe,1997-09-19,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Hendrix,Mcdaniel,1992-07-02,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Bobby,Greer,1994-10-22,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Grace,Mckay,1993-01-21,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Tia,Mosley,1992-10-13,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Deangelo,Dawson,1992-07-27,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Stephanie,English,1997-04-18,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
Demi,Mcgowan,1993-08-15,Ateneo de Manila University,,,,,,,,,,,,,,,,,,,,,,
